// input file 3

M 5
T_d 3
T_w 3
T_b 3
T_in 1
T_out 1

Company1 balance $300,000,000
Company2 balance $40,000,000
Company3 balance $300,000,000
Company4 balance $270,000,000
Company5 balance $330,000,000
Company6 balance $100,000,000
Company7 balance $440,000,000
Company8 balance $350,000,000
Company9 balance $300,000,000
Company10 balance $370,000,000
Company11 balance $60,000,000
Company12 balance $480,000,000
Company13 balance $140,000,000
Company14 balance $290,000,000
Company15 balance $220,000,000
Company16 balance $450,000,000
Company17 balance $210,000,000
Company18 balance $420,000,000
Company19 balance $240,000,000
Company20 balance $220,000,000
Company21 balance $410,000,000
Company22 balance $320,000,000
Company23 balance $120,000,000
Company24 balance $100,000,000
Company25 balance $10,000,000
Company26 balance $370,000,000
Company27 balance $140,000,000
Company28 balance $360,000,000
Company29 balance $30,000,000
Company30 balance $490,000,000
Company31 balance $280,000,000
Company32 balance $360,000,000
Company33 balance $340,000,000
Company34 balance $140,000,000
Company35 balance $40,000,000
Company36 balance $500,000,000
Company37 balance $500,000,000
Company38 balance $400,000,000
Company39 balance $270,000,000
Company40 balance $110,000,000
Company41 balance $90,000,000
Company42 balance $60,000,000
Company43 balance $490,000,000
Company44 balance $480,000,000
Company45 balance $40,000,000
Company46 balance $250,000,000
Company47 balance $320,000,000
Company48 balance $250,000,000
Company49 balance $280,000,000
Company50 balance $130,000,000


Time 1: Employee 1 Company3; check balance
Time 393: Employee 586 Company4; deposit $3300
Time 393: Employee 587 Company3; check balance
Time 393: Employee 588 Company4; check balance
Time 395: Employee 589 Company5; deposit $800
Time 395: Employee 590 Company2; deposit $3400
Time 396: Employee 591 Company3; withdrawal $2200
Time 396: Employee 592 Company9; check balance
Time 396: Employee 593 Company9; withdrawal $1100
Time 396: Employee 594 Company3; check balance
Time 396: Employee 595 Company9; deposit $5000
Time 396: Employee 596 Company6; check balance
Time 396: Employee 597 Company8; withdrawal $2500
Time 397: Employee 598 Company7; check balance
Time 397: Employee 599 Company4; deposit $200
Time 399: Employee 600 Company10; check balance
Time 401: Employee 601 Company10; deposit $600
Time 401: Employee 602 Company5; deposit $3000
Time 401: Employee 603 Company3; withdrawal $1800
Time 401: Employee 604 Company10; deposit $500
Time 402: Employee 605 Company3; withdrawal $4800
Time 402: Employee 606 Company2; deposit $3600
Time 402: Employee 607 Company10; check balance
Time 402: Employee 608 Company10; withdrawal $3600
Time 402: Employee 609 Company3; deposit $1100
Time 402: Employee 610 Company1; withdrawal $1900
Time 403: Employee 611 Company10; check balance
Time 403: Employee 612 Company5; withdrawal $100
Time 404: Employee 613 Company8; withdrawal $200
Time 405: Employee 614 Company6; deposit $3100
Time 405: Employee 615 Company1; check balance
Time 407: Employee 616 Company10; withdrawal $800
Time 407: Employee 617 Company6; deposit $500
Time 407: Employee 618 Company3; withdrawal $100
Time 407: Employee 619 Company2; deposit $1400
Time 409: Employee 620 Company9; withdrawal $2800
Time 409: Employee 621 Company2; deposit $3900
Time 409: Employee 622 Company4; deposit $1600
Time 409: Employee 623 Company3; withdrawal $500
Time 409: Employee 624 Company2; deposit $3400
Time 409: Employee 625 Company7; withdrawal $2300
Time 409: Employee 626 Company1; deposit $3400
Time 409: Employee 627 Company1; check balance
Time 409: Employee 628 Company10; deposit $2800
Time 409: Employee 629 Company3; withdrawal $2300
Time 409: Employee 630 Company6; check balance
Time 409: Employee 631 Company7; check balance
Time 410: Employee 632 Company1; deposit $1800
Time 410: Employee 633 Company8; withdrawal $3300
Time 411: Employee 634 Company5; deposit $200
Time 411: Employee 635 Company7; withdrawal $3600
Time 413: Employee 636 Company10; check balance
Time 414: Employee 637 Company7; deposit $1700
Time 415: Employee 638 Company2; check balance
Time 416: Employee 639 Company6; deposit $3400
Time 416: Employee 640 Company10; withdrawal $4000
Time 416: Employee 641 Company3; withdrawal $3700
Time 418: Employee 642 Company8; withdrawal $5000
Time 419: Employee 643 Company5; deposit $4100
Time 421: Employee 644 Company7; withdrawal $4500
Time 423: Employee 645 Company7; deposit $4600
Time 423: Employee 646 Company7; deposit $400
Time 423: Employee 647 Company9; deposit $3800
Time 424: Employee 648 Company6; check balance
Time 424: Employee 649 Company5; deposit $2200
Time 426: Employee 650 Company10; withdrawal $700
Time 426: Employee 651 Company3; check balance
Time 426: Employee 652 Company2; check balance
Time 428: Employee 653 Company5; check balance
Time 428: Employee 654 Company5; check balance
Time 429: Employee 655 Company5; withdrawal $4200
Time 429: Employee 656 Company4; withdrawal $4400
Time 431: Employee 657 Company6; deposit $2900
Time 431: Employee 658 Company2; deposit $4400
Time 431: Employee 659 Company10; deposit $4300
Time 432: Employee 660 Company7; withdrawal $3700
Time 432: Employee 661 Company8; withdrawal $1500
Time 432: Employee 662 Company6; check balance
Time 432: Employee 663 Company10; deposit $3400
Time 433: Employee 664 Company6; withdrawal $3500
Time 433: Employee 665 Company4; deposit $1100
Time 435: Employee 666 Company6; check balance
Time 437: Employee 667 Company5; check balance
Time 437: Employee 668 Company5; deposit $1500
Time 437: Employee 669 Company4; deposit $2800
Time 437: Employee 670 Company5; deposit $1100
Time 438: Employee 671 Company5; check balance
Time 440: Employee 672 Company5; withdrawal $3400
Time 440: Employee 673 Company10; withdrawal $400
Time 440: Employee 674 Company1; deposit $4300
Time 440: Employee 675 Company6; withdrawal $4600
Time 440: Employee 676 Company9; withdrawal $1300
Time 440: Employee 677 Company2; withdrawal $4100
Time 442: Employee 678 Company6; withdrawal $600
Time 442: Employee 679 Company9; withdrawal $4400
Time 442: Employee 680 Company9; withdrawal $700
Time 444: Employee 681 Company1; withdrawal $2700
Time 444: Employee 682 Company4; withdrawal $1000
Time 444: Employee 683 Company3; check balance
Time 445: Employee 684 Company5; check balance
Time 447: Employee 685 Company2; deposit $2800
Time 447: Employee 686 Company4; withdrawal $1500
Time 447: Employee 687 Company10; withdrawal $4800
Time 447: Employee 688 Company7; withdrawal $3000
Time 447: Employee 689 Company10; check balance
Time 448: Employee 690 Company10; deposit $3500
Time 448: Employee 691 Company2; deposit $1400
Time 450: Employee 692 Company4; withdrawal $2600
Time 450: Employee 693 Company4; deposit $2300
Time 450: Employee 694 Company4; check balance
Time 451: Employee 695 Company10; withdrawal $700
Time 451: Employee 696 Company9; deposit $2400
Time 452: Employee 697 Company4; withdrawal $1700
Time 452: Employee 698 Company3; withdrawal $2800
Time 452: Employee 699 Company2; check balance
Time 452: Employee 700 Company1; deposit $2900
Time 453: Employee 701 Company5; check balance
Time 453: Employee 702 Company6; withdrawal $600
Time 453: Employee 703 Company5; check balance
Time 453: Employee 704 Company2; deposit $2300
Time 453: Employee 705 Company1; check balance
Time 455: Employee 706 Company2; withdrawal $2700
Time 455: Employee 707 Company6; withdrawal $1500
Time 457: Employee 708 Company3; withdrawal $2500
Time 458: Employee 709 Company10; deposit $4000
Time 458: Employee 710 Company5; deposit $1800
Time 459: Employee 711 Company1; withdrawal $3400
Time 459: Employee 712 Company10; check balance
Time 459: Employee 713 Company3; deposit $1900
Time 459: Employee 714 Company8; check balance
Time 460: Employee 715 Company6; withdrawal $400
Time 461: Employee 716 Company10; check balance
Time 461: Employee 717 Company5; deposit $3500
Time 461: Employee 718 Company9; withdrawal $400
Time 461: Employee 719 Company1; check balance
Time 461: Employee 720 Company6; deposit $3600
Time 461: Employee 721 Company10; withdrawal $3500
Time 461: Employee 722 Company3; check balance
Time 463: Employee 723 Company4; check balance
Time 465: Employee 724 Company4; check balance
Time 465: Employee 725 Company9; withdrawal $4700
Time 465: Employee 726 Company4; check balance
Time 465: Employee 727 Company9; check balance
Time 465: Employee 728 Company7; check balance
Time 465: Employee 729 Company10; check balance
Time 465: Employee 730 Company10; withdrawal $5000
Time 467: Employee 731 Company4; deposit $1200
Time 467: Employee 732 Company5; check balance
Time 467: Employee 733 Company2; deposit $4700
Time 467: Employee 734 Company10; deposit $2600
Time 467: Employee 735 Company5; withdrawal $200
Time 467: Employee 736 Company4; deposit $4400
Time 469: Employee 737 Company1; withdrawal $2600
Time 469: Employee 738 Company4; check balance
Time 470: Employee 739 Company1; check balance
Time 472: Employee 740 Company3; withdrawal $700
Time 472: Employee 741 Company4; check balance
Time 472: Employee 742 Company3; withdrawal $3900
Time 472: Employee 743 Company2; deposit $1300
Time 472: Employee 744 Company5; deposit $1800
Time 472: Employee 745 Company4; check balance
Time 472: Employee 746 Company2; withdrawal $2600
Time 472: Employee 747 Company3; check balance
Time 473: Employee 748 Company10; check balance
Time 473: Employee 749 Company3; check balance
Time 473: Employee 750 Company2; deposit $2500
Time 473: Employee 751 Company7; deposit $3400
Time 473: Employee 752 Company7; check balance
Time 473: Employee 753 Company2; check balance
Time 475: Employee 754 Company7; withdrawal $700
Time 475: Employee 755 Company9; withdrawal $4200
Time 476: Employee 756 Company1; check balance
Time 476: Employee 757 Company3; check balance
Time 476: Employee 758 Company1; check balance
Time 477: Employee 759 Company9; deposit $1300
Time 479: Employee 760 Company8; check balance
Time 479: Employee 761 Company3; check balance
Time 481: Employee 762 Company8; check balance
Time 483: Employee 763 Company3; deposit $2100
Time 484: Employee 764 Company3; check balance
Time 484: Employee 765 Company4; check balance
Time 485: Employee 766 Company3; deposit $700
Time 485: Employee 767 Company1; deposit $4100
Time 486: Employee 768 Company6; deposit $1100
Time 486: Employee 769 Company9; withdrawal $4900
Time 486: Employee 770 Company2; deposit $4900
Time 486: Employee 771 Company8; check balance
Time 486: Employee 772 Company4; withdrawal $2500
Time 487: Employee 773 Company9; deposit $2200
Time 488: Employee 774 Company2; check balance
Time 488: Employee 775 Company2; deposit $1600
Time 488: Employee 776 Company3; deposit $4300
Time 490: Employee 777 Company6; deposit $3900
Time 492: Employee 778 Company9; check balance
Time 492: Employee 779 Company3; check balance
Time 492: Employee 780 Company3; deposit $3000
Time 492: Employee 781 Company5; deposit $3700
Time 494: Employee 782 Company8; deposit $100
Time 494: Employee 783 Company6; withdrawal $3400
Time 494: Employee 784 Company10; check balance
Time 496: Employee 785 Company8; withdrawal $4600
Time 498: Employee 786 Company10; deposit $1000
Time 498: Employee 787 Company6; deposit $2400
Time 500: Employee 788 Company10; deposit $2500
Time 500: Employee 789 Company3; withdrawal $1000
Time 501: Employee 790 Company5; withdrawal $300
Time 501: Employee 791 Company1; check balance
Time 502: Employee 792 Company5; withdrawal $400
Time 504: Employee 793 Company1; deposit $200
Time 504: Employee 794 Company5; deposit $2100
Time 504: Employee 795 Company10; check balance
Time 504: Employee 796 Company4; withdrawal $900
Time 504: Employee 797 Company5; withdrawal $1100
Time 504: Employee 798 Company2; check balance
Time 504: Employee 799 Company2; withdrawal $3000
Time 504: Employee 800 Company5; withdrawal $4700
Time 504: Employee 801 Company7; deposit $2400
Time 504: Employee 802 Company6; withdrawal $3800
Time 504: Employee 803 Company5; withdrawal $100
Time 504: Employee 804 Company6; check balance
Time 504: Employee 805 Company1; withdrawal $2200
Time 504: Employee 806 Company8; deposit $2400
Time 504: Employee 807 Company6; withdrawal $2300
Time 504: Employee 808 Company10; deposit $3900
Time 504: Employee 809 Company10; deposit $4400
Time 504: Employee 810 Company6; check balance
Time 504: Employee 811 Company9; deposit $1200
Time 504: Employee 812 Company6; deposit $1600
Time 504: Employee 813 Company10; deposit $2200
Time 505: Employee 814 Company9; check balance
Time 506: Employee 815 Company3; check balance
Time 506: Employee 816 Company10; deposit $4300
Time 506: Employee 817 Company2; withdrawal $2900
Time 508: Employee 818 Company1; deposit $3400
Time 510: Employee 819 Company10; deposit $1600
Time 510: Employee 820 Company9; withdrawal $3900
Time 510: Employee 821 Company8; withdrawal $3500
Time 510: Employee 822 Company7; check balance
Time 512: Employee 823 Company4; withdrawal $3500
Time 513: Employee 824 Company4; check balance
Time 515: Employee 825 Company2; check balance
Time 516: Employee 826 Company8; withdrawal $4900
Time 516: Employee 827 Company7; withdrawal $800
Time 517: Employee 828 Company8; withdrawal $2500
Time 517: Employee 829 Company6; withdrawal $1800
Time 519: Employee 830 Company6; withdrawal $1000
Time 519: Employee 831 Company5; check balance
Time 519: Employee 832 Company5; withdrawal $3500
Time 520: Employee 833 Company1; deposit $1200
Time 521: Employee 834 Company3; withdrawal $2100
Time 521: Employee 835 Company6; deposit $4500
Time 521: Employee 836 Company1; deposit $2500
Time 521: Employee 837 Company4; deposit $1000
Time 521: Employee 838 Company7; deposit $2500
Time 521: Employee 839 Company4; deposit $600
Time 521: Employee 840 Company2; deposit $2100
Time 521: Employee 841 Company10; withdrawal $600
Time 522: Employee 842 Company4; check balance
Time 523: Employee 843 Company10; withdrawal $200
Time 523: Employee 844 Company8; check balance
Time 523: Employee 845 Company8; check balance
Time 523: Employee 846 Company2; check balance
Time 523: Employee 847 Company8; withdrawal $4100
Time 523: Employee 848 Company1; deposit $3600
Time 523: Employee 849 Company9; check balance
Time 523: Employee 850 Company5; withdrawal $2900
Time 523: Employee 851 Company3; withdrawal $3300
Time 523: Employee 852 Company6; check balance
Time 523: Employee 853 Company6; withdrawal $5000
Time 523: Employee 854 Company1; deposit $2900
Time 523: Employee 855 Company5; withdrawal $5000
Time 523: Employee 856 Company7; check balance
Time 523: Employee 857 Company5; check balance
Time 523: Employee 858 Company1; withdrawal $400
Time 523: Employee 859 Company6; check balance
Time 524: Employee 860 Company1; deposit $1900
Time 524: Employee 861 Company10; check balance
Time 524: Employee 862 Company6; deposit $1700
Time 526: Employee 863 Company6; deposit $500
Time 526: Employee 864 Company10; check balance
Time 526: Employee 865 Company10; deposit $1200
Time 526: Employee 866 Company3; withdrawal $3700
Time 527: Employee 867 Company9; withdrawal $4700
Time 527: Employee 868 Company1; check balance
Time 528: Employee 869 Company3; withdrawal $2800
Time 529: Employee 870 Company6; deposit $5000
Time 529: Employee 871 Company7; withdrawal $3800
Time 529: Employee 872 Company7; withdrawal $1500
Time 529: Employee 873 Company9; deposit $3500
Time 530: Employee 874 Company10; deposit $2600
Time 530: Employee 875 Company1; withdrawal $1200
Time 530: Employee 876 Company10; withdrawal $3100
Time 530: Employee 877 Company5; deposit $2400
Time 530: Employee 878 Company7; deposit $2900
Time 532: Employee 879 Company9; deposit $3900
Time 532: Employee 880 Company6; check balance
Time 532: Employee 881 Company2; deposit $4400
Time 534: Employee 882 Company6; check balance
Time 535: Employee 883 Company6; deposit $4600
Time 535: Employee 884 Company6; check balance
Time 536: Employee 885 Company7; check balance
Time 537: Employee 886 Company8; check balance
Time 538: Employee 887 Company3; deposit $1100
Time 540: Employee 888 Company6; withdrawal $3600
Time 540: Employee 889 Company5; withdrawal $3800
Time 540: Employee 890 Company2; deposit $2000
Time 540: Employee 891 Company8; check balance
Time 540: Employee 892 Company6; deposit $4900
Time 541: Employee 893 Company8; check balance
Time 542: Employee 894 Company3; withdrawal $800
Time 542: Employee 895 Company2; withdrawal $5000
Time 542: Employee 896 Company4; deposit $2200
Time 542: Employee 897 Company10; check balance
Time 544: Employee 898 Company2; withdrawal $1900
Time 545: Employee 899 Company7; withdrawal $2600
Time 545: Employee 900 Company1; withdrawal $3000
Time 546: Employee 901 Company8; withdrawal $1800
Time 546: Employee 902 Company9; withdrawal $4500
Time 546: Employee 903 Company5; check balance
Time 546: Employee 904 Company6; check balance
Time 546: Employee 905 Company3; withdrawal $3500
Time 546: Employee 906 Company8; withdrawal $900
Time 548: Employee 907 Company6; deposit $800
Time 549: Employee 908 Company9; check balance
Time 549: Employee 909 Company4; deposit $4700
Time 549: Employee 910 Company10; deposit $2800
Time 550: Employee 911 Company6; withdrawal $800
Time 550: Employee 912 Company2; check balance
Time 550: Employee 913 Company3; check balance
Time 552: Employee 914 Company2; withdrawal $3000
Time 554: Employee 915 Company4; deposit $4200
Time 556: Employee 916 Company3; check balance
Time 556: Employee 917 Company7; check balance
Time 556: Employee 918 Company3; withdrawal $4800
Time 558: Employee 919 Company1; deposit $4600
Time 558: Employee 920 Company8; deposit $2400
Time 559: Employee 921 Company3; withdrawal $2300
Time 561: Employee 922 Company4; withdrawal $1500
Time 561: Employee 923 Company10; withdrawal $3400
Time 561: Employee 924 Company4; deposit $3600
Time 561: Employee 925 Company1; deposit $2000
Time 562: Employee 926 Company4; check balance
Time 562: Employee 927 Company1; check balance
Time 564: Employee 928 Company7; check balance
Time 566: Employee 929 Company1; check balance
Time 566: Employee 930 Company5; withdrawal $4500
Time 568: Employee 931 Company10; deposit $900
Time 568: Employee 932 Company4; check balance
Time 568: Employee 933 Company7; deposit $300
Time 568: Employee 934 Company6; deposit $900
Time 568: Employee 935 Company1; check balance
Time 568: Employee 936 Company4; deposit $3900
Time 568: Employee 937 Company5; check balance
Time 568: Employee 938 Company7; check balance
Time 570: Employee 939 Company3; check balance
Time 570: Employee 940 Company2; withdrawal $2300
Time 571: Employee 941 Company9; withdrawal $3300
Time 571: Employee 942 Company3; deposit $3700
Time 572: Employee 943 Company9; check balance
Time 572: Employee 944 Company4; check balance
Time 572: Employee 945 Company7; deposit $3600
Time 574: Employee 946 Company7; deposit $2100
Time 574: Employee 947 Company4; withdrawal $400
Time 574: Employee 948 Company5; withdrawal $5000
Time 575: Employee 949 Company1; deposit $3400
Time 575: Employee 950 Company9; check balance
Time 575: Employee 951 Company3; withdrawal $4200
Time 575: Employee 952 Company10; withdrawal $3200
Time 577: Employee 953 Company3; deposit $100
Time 578: Employee 954 Company3; deposit $1700
Time 578: Employee 955 Company1; deposit $700
Time 578: Employee 956 Company5; check balance
Time 578: Employee 957 Company4; deposit $4000
Time 579: Employee 958 Company3; withdrawal $600
Time 580: Employee 959 Company2; check balance
Time 580: Employee 960 Company5; withdrawal $2000
Time 581: Employee 961 Company7; deposit $4200
Time 581: Employee 962 Company9; withdrawal $3200
Time 583: Employee 963 Company1; deposit $600
Time 585: Employee 964 Company2; deposit $4600
Time 586: Employee 965 Company7; withdrawal $3800
Time 586: Employee 966 Company2; deposit $3500
Time 588: Employee 967 Company4; deposit $3600
Time 588: Employee 968 Company4; deposit $1900
Time 589: Employee 969 Company9; withdrawal $3500
Time 590: Employee 970 Company3; withdrawal $400
Time 592: Employee 971 Company9; check balance
Time 592: Employee 972 Company1; check balance
Time 592: Employee 973 Company7; deposit $3000
Time 592: Employee 974 Company1; deposit $1100
Time 594: Employee 975 Company6; deposit $2700
Time 596: Employee 976 Company7; check balance
Time 597: Employee 977 Company4; withdrawal $2200
Time 597: Employee 978 Company3; deposit $2500
Time 597: Employee 979 Company2; deposit $4600
Time 598: Employee 980 Company3; withdrawal $3300
Time 599: Employee 981 Company6; withdrawal $1500
Time 599: Employee 982 Company10; deposit $2600
Time 599: Employee 983 Company8; withdrawal $4500
Time 599: Employee 984 Company1; deposit $2300
Time 599: Employee 985 Company10; check balance
Time 599: Employee 986 Company8; check balance
Time 600: Employee 987 Company1; check balance
Time 602: Employee 988 Company1; deposit $700
Time 603: Employee 989 Company2; withdrawal $600
Time 603: Employee 990 Company6; deposit $1200
Time 603: Employee 991 Company4; deposit $3300
Time 603: Employee 992 Company5; deposit $2100
Time 604: Employee 993 Company2; withdrawal $3200
Time 605: Employee 994 Company10; withdrawal $2800
Time 606: Employee 995 Company10; deposit $4700
Time 607: Employee 996 Company9; check balance
Time 607: Employee 997 Company6; check balance
Time 607: Employee 998 Company6; withdrawal $1900
Time 608: Employee 999 Company8; withdrawal $2400
Time 608: Employee 1000 Company9; withdrawal $3400

